Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um,,,,
 77, 788,     787.856,      20.001,    1149.754,   2.259E-02,   2.767E-02,   6.085E-03,   4.930E-22
 78, 794,     793.584,      20.000,    1135.459,   2.193E-02,   2.766E-02,   5.245E-03,   4.490E-22
 79, 799,     799.312,      20.000,    1123.584,   2.130E-02,   2.765E-02,   4.712E-03,   3.398E-22
 80, 805,     805.040,      20.000,    1112.775,   2.070E-02,   2.765E-02,   4.600E-03,   2.218E-22
 81, 811,     810.768,      20.000,    1101.174,   2.011E-02,   2.764E-02,   4.701E-03,   1.350E-22
 82, 816,     816.496,      20.000,    1087.566,   1.955E-02,   2.763E-02,   4.625E-03,   8.700E-23
 83, 822,     822.224,      20.000,    1072.441,   1.901E-02,   2.762E-02,   4.137E-03,   7.313E-23
 84, 828,     827.952,      20.000,    1056.725,   1.848E-02,   2.762E-02,   3.395E-03,   8.545E-23
 85, 834,     833.680,      20.000,    1039.902,   1.798E-02,   2.761E-02,   2.772E-03,   1.069E-22
 86, 839,     839.409,      20.000,    1020.106,   1.749E-02,   2.760E-02,   2.523E-03,   1.153E-22
 87, 845,     845.136,      20.000,     996.839,   1.702E-02,   2.760E-02,   2.622E-03,   1.012E-22
 88, 851,     850.864,      20.000,     975.025,   1.656E-02,   2.759E-02,   2.807E-03,   7.450E-23
 89, 857,     856.591,      20.000,     961.639,   1.611E-02,   2.758E-02,   2.756E-03,   5.028E-23
 90, 862,     862.320,      20.000,     956.417,   1.567E-02,   2.758E-02,   2.374E-03,   3.561E-23
 91, 868,     868.048,      20.000,     953.337,   1.526E-02,   2.757E-02,   1.856E-03,   3.030E-23
 92, 874,     873.776,      20.000,     948.533,   1.486E-02,   2.756E-02,   1.456E-03,   3.247E-23
 93, 880,     879.504,      20.000,     940.925,   1.448E-02,   2.756E-02,   1.277E-03,   3.961E-23
 94, 885,     885.232,      20.000,     930.543,   1.411E-02,   2.755E-02,   1.273E-03,   4.824E-23
 95, 891,     890.960,      20.000,     918.184,   1.375E-02,   2.755E-02,   1.331E-03,   5.425E-23
